Rule: ('21793729483431168',) ==> ('10805561385801984',) , 0.100
Rule: ('7019692132464768',) ==> ('20676578519587712',) , 0.100
Rule: ('11469144838403584', '10666016019011968') ==> ('10702039788833536',) , 0.100
Rule: ('9452576893995904',) ==> ('22415744092814848',) , 0.101
Rule: ('5445099682017408',) ==> ('12890630300398464',) , 0.101
Rule: ('5420474487543424',) ==> ('12890630300398464',) , 0.101
Rule: ('25987566940214272',) ==> ('11469144838403584',) , 0.102
Rule: ('8761980780914176',) ==> ('10666016019011968',) , 0.102
Rule: ('7944825135218048',) ==> ('11939886139089280',) , 0.102
Rule: ('20913698224569728',) ==> ('6880127975491840',) , 0.102
Rule: ('25688126652141056',) ==> ('24555101931700992',) , 0.102
Rule: ('2559223020059393024',) ==> ('22370628148540672',) , 0.103
Rule: ('7622515220085888',) ==> ('9452576893995904',) , 0.103
Rule: ('16568967799766400',) ==> ('6931495515974784',) , 0.103
Rule: ('21793729483431168',) ==> ('10702039788833536', '18140151421282816') , 0.103
Rule: ('6931495515974784',) ==> ('10666016019011968',) , 0.103
Rule: ('16457849211148544',) ==> ('9619453553227520',) , 0.103
Rule: ('20801100627439104',) ==> ('24555101931700992',) , 0.104
Rule: ('8761980780914176',) ==> ('27659050913272320',) , 0.104
Rule: ('26155425805309568',) ==> ('10666016019011968',) , 0.104
Rule: ('6931495515974784',) ==> ('11469144838403584',) , 0.105
Rule: ('20676578519587712',) ==> ('5716382158692224',) , 0.105
Rule: ('24693908300666624',) ==> ('10666016019011968',) , 0.105
Rule: ('7176909678787200',) ==> ('22370628148540672',) , 0.105
Rule: ('25684213132401152',) ==> ('20801100627439104',) , 0.105
Rule: ('23876020628428288',) ==> ('21352602247922688',) , 0.105
Rule: ('20799413707505536',) ==> ('10666016019011968',) , 0.106
Rule: ('9664617818813440',) ==> ('9869596206970368',) , 0.106
Rule: ('20799413707505536',) ==> ('5368145410852864',) , 0.107
Rule: ('12890630300398464',) ==> ('6931495515974784',) , 0.107
Rule: ('21352602247922688',) ==> ('27659050913272320',) , 0.108
Rule: ('17014721785656192',) ==> ('24555101931700992',) , 0.108
Rule: ('27424405030704256',) ==> ('20801100627439104',) , 0.108
Rule: ('23167698110497152',) ==> ('20801100627439104',) , 0.108
Rule: ('11375118072159104',) ==> ('9619453553227520',) , 0.108
Rule: ('5368145410852864',) ==> ('8761980780914176',) , 0.109
Rule: ('7019692132464768',) ==> ('24555101931700992',) , 0.109
Rule: ('9452576893995904',) ==> ('7622515220085888',) , 0.109
Rule: ('22111632762112384',) ==> ('9452576893995904',) , 0.109
Rule: ('5420474487543424',) ==> ('22370628148540672',) , 0.109
Rule: ('11469144838403584', '10666016019011968') ==> ('9664617818813440',) , 0.110
Rule: ('13028013150926080',) ==> ('22370628148540672',) , 0.110
Rule: ('7226958664056192',) ==> ('11469144838403584',) , 0.110
Rule: ('23876020628428288',) ==> ('27424405030704256',) , 0.110
Rule: ('8173457518590080',) ==> ('10710203447951488',) , 0.110
Rule: ('5347304350422912',) ==> ('6880127975491840',) , 0.110
Rule: ('8173457518590080',) ==> ('22111632762112384',) , 0.112
Rule: ('10666016019011968',) ==> ('7304178417862144',) , 0.112
Rule: ('25987566940214272',) ==> ('21352602247922688',) , 0.112
Rule: ('26155425805309568',) ==> ('13183241053306368',) , 0.113
Rule: ('20799413707505536',) ==> ('24555101931700992',) , 0.113
Rule: ('8574737923789056',) ==> ('16155769128467456',) , 0.113
Rule: ('7176909678787200',) ==> ('10666016019011968',) , 0.114
Rule: ('25987566940214272',) ==> ('24555101931700992',) , 0.114
Rule: ('9869596206970368',) ==> ('9664617818813440',) , 0.114
Rule: ('17020968010150272',) ==> ('10666016019011968',) , 0.114
Rule: ('7176909678787200',) ==> ('27659050913272320',) , 0.115
Rule: ('7226958664056192',) ==> ('17020968010150272',) , 0.115
